course_title,professor,location,course_code,course_subject
The Underground Economy.,Robin Thomas   Naylor ,SADB 1/12,316,ECON
Economic Crises.,Christopher T S   Ragan ,RPHYS 112,319,ECON
Ecological Economics.,Robin Thomas   Naylor ,ARTS 145,326,ECON
Macroeconomic Theory.,Daniel   Barczyk ,LEA 219,330D1,ECON
Macroeconomic Theory.,TBA,RPHYS 112,330D1,ECON
The Japanese Economy.,John C   Kurien ,LEA 14,335,ECON
The Chinese Economy.,Christopher   Green ,RPHYS 118,336,ECON
Introductory Econometrics 1.,Kenneth   MacKenzie ,MAASS 112,337,ECON
Macroeconomics - Honours.,Francisco   Alvarez-Cuadrado ,RPHYS 118,352D1,ECON
Public Sector Economics 1.,William   Watson ,MAASS 217,408,ECON
Economic Development: A World Area.,John C   Kurien ,LEA 109,411,ECON
Topics in Economic Development 2.,Francesco   Amodio ,LEA 14,416,ECON
Topics in Economic Theory.,Theodore   Papageorgiou ,BURN 1B23,420,ECON
International Trade.,Ngo Van   Long ,ENGMC 13,423,ECON
Labour Economics.,TBA,RPHYS 118,426,ECON
Economics of Information and Uncertainty.,Jian   Li ,RPHYS 115,447,ECON
Advanced Economic Theory 1 - Honours.,Francisco   Alvarez-Cuadrado ,EDUC 216,450,ECON
Topics in Monetary Economics - Honours.,TBA,LEA 210,459,ECON
History of Thought 1 - Honours.,William   Watson ,LEA 109,460,ECON
Econometrics 1 - Honours.,Russell   Davidson ,CURRIE 408/9,468,ECON
Project Analysis.,Robert D   Cairns ,LEA 14,525,ECON
Microeconomic Theory 1.,Jian   Li ,LEA 424,610,ECON
Macroeconomic Theory 1.,Francisco   Alvarez-Cuadrado ,LEA 116,620,ECON
Macroeconomic Theory 2.,Markus Karl Felix  Poschke ,LEA 424,621,ECON
Money and Banking.,Jagdish   Handa ,LEA 210,623,ECON
International Economics.,Ngo Van   Long ,LEA 424,624,ECON
Economic Development 3.,Matthieu   Chemin | Sonia Catherine  Laszlo ,LEA 424,634,ECON
Industrial Organization and Regulation.,Robert D   Cairns ,LEA 517,637,ECON
Labour Economics.,Theodore   Papageorgiou ,LEA 517,641,ECON
Econometrics.,Saraswata   Chaudhuri ,LEA 15,662D1,ECON
Electric Circuits 1.,Thomas   Szkopek ,ENGMC 204,200,ECSE
Introduction to Software Development.,Frank P   Ferrie ,MAASS 112,202,ECSE
Probability and Statistics for Engineers,Steve J   McFee ,ENGTR 0100,205,ECSE
Electric Circuits 2.,Martin D   Levine ,ENGMD 279,210,ECSE
Design Principles and Methods.,David Alister   Lowther | Dennis Dionysios  Giannacopoulos ,ENGTR 0100,211,ECSE
Introduction to Computer Engineering.,Odile   Liboiron-Ladouceur ,MAASS 10,221,ECSE
Electrical Measurements Laboratory.,Zetian   Mi ,RPHYS 112,291,ECSE
Signals and Systems 1.,Benoit   Boulet ,ENGMD 280,303,ECSE
Signals and Systems 2.,Wissam   Musallam ,ENGTR 1090,304,ECSE
Probability and Random Signals 1.,Peter Edwin   Caines ,ENGTR 0100,305,ECSE
Fundamentals of Signals and Systems.,Tho   Le-Ngoc ,ENGTR 1090,306,ECSE
Introduction to Software Engineering.,Shane   McIntosh ,ENGMC 11,321,ECSE
Computer Engineering.,TBA,ENGMC 304,322,ECSE
Digital System Design.,James J   Clark ,ENGTR 0100,323,ECSE
Introduction to Electronics.,Roni   Khazaka ,ENGMC 304,330,ECSE
Introduction to Microelectronics.,Gordon W   Roberts ,ENGMD 280,334,ECSE
Electromagnetic Fields.,Martin   Rochette ,MAASS 10,351,ECSE
Electromagnetic Waves.,Milica   Popovich ,ENGTR 0100,352,ECSE
Electromagnetic Fields and Waves.,Jonathan P   Webb ,ENGTR 0060,353,ECSE
Power Engineering.,François   Bouffard ,ENGTR 1100,361,ECSE
Control Systems.,Hannah   Michalska ,ENGTR 1100,404,ECSE
Antennas.,Milica   Popovich ,ENGTR 1090,405,ECSE
Communications Systems 1.,Harry   Leib ,ENGTR 0070,411,ECSE
Discrete Time Signal Processing.,Benoit   Champagne ,ENGTR 0060,412,ECSE
Introduction to Telecommunication Networks.,Michael G  Rabbat ,MDHAR G-10,414,ECSE
Parallel Computing.,Zeljko   Zilic ,ENGTR 1100,420,ECSE
Human-Computer Interaction.,Jeremy   Cooperstock ,ENGTR 0070,424,ECSE
Microprocessor Systems.,Mark John  Coates ,ENGTR 0070,426,ECSE
Operating Systems.,Muthucumaru   Maheswaran ,ENGTR 0100,427,ECSE
Software Validation.,Gunter   Mussbacher ,ENGMD 279,429,ECSE
Microelectronics Laboratory.,Mourad N   El-Gamal ,ENGTR 1100,434,ECSE
Signal Processing Hardware.,Jan   Bajcsy ,ENGTR 2110,436,ECSE
Electric Machinery.,Geza   Joos ,BURN 1B45,461,ECSE
Electromechanical Energy Conversion.,TBA,ENGTR 0060,462,ECSE
Power Systems Analysis.,Geza   Joos | François   Bouffard ,POLY ,464,ECSE
Power Electronic Systems.,Geza   Joos ,POLY ,465,ECSE
Power Electronic Systems.,Geza   Joos ,POLY ,465,ECSE
Mathematical Foundations of Systems.,Hannah   Michalska ,ENGTR 1090,500,ECSE
Mathematical Foundations of Systems.,Hannah   Michalska ,ENGTR 1090,500,ECSE
Linear Systems.,James Richard  Forbes ,ENGTR 1080,501,ECSE
Linear Systems.,James Richard  Forbes ,ENGTR 1080,501,ECSE
Probability and Random Sig. 2.,Jan   Bajcsy ,ENGTR 0060,509,ECSE
Probability and Random Sig. 2.,Jan   Bajcsy ,ENGTR 0060,509,ECSE
Introduction to Digital Communication.,Harry   Leib ,ENGTR 0070,511,ECSE
Introduction to Digital Communication.,Harry   Leib ,ENGTR 0070,511,ECSE
Digital Signal Processing 1.,Benoit   Champagne ,ENGTR 0060,512,ECSE
Digital Signal Processing 1.,Benoit   Champagne ,ENGTR 0060,512,ECSE
Optical Fibre Communications.,Martin   Rochette ,ENGTR 2100,515,ECSE
Optical Fibre Communications.,Martin   Rochette ,ENGTR 2100,515,ECSE
Neural Prosthetic Systems.,Wissam   Musallam ,ENGTR 2100,517,ECSE
Neural Prosthetic Systems.,Wissam   Musallam ,ENGTR 2100,517,ECSE
Semiconductor Nanostructures and Nanophotonic Devices.,Zetian   Mi ,ENGTR 0070,519,ECSE
Semiconductor Nanostructures and Nanophotonic Devices.,Zetian   Mi ,ENGTR 0070,519,ECSE
Digital Communications 1.,Tho   Le-Ngoc ,ENGTR 0070,521,ECSE
Digital Communications 1.,Tho   Le-Ngoc ,ENGTR 0070,521,ECSE
Artificial Intelligence.,Jeremy   Cooperstock ,ENGTR 2110,526,ECSE
Artificial Intelligence.,Jeremy   Cooperstock ,ENGTR 2110,526,ECSE
Computer and Biological Vision.,Martin D   Levine ,ENGTR 1100,529,ECSE
Computer and Biological Vision.,Martin D   Levine ,ENGTR 1100,529,ECSE
Physical Basis of Semiconductor Devices.,Ishiang   Shih ,ENGTR 0070,533,ECSE
Physical Basis of Semiconductor Devices.,Ishiang   Shih ,ENGTR 0070,533,ECSE
Analog Microelectronics.,Gordon W   Roberts ,ENGTR 2120,534,ECSE
Analog Microelectronics.,Gordon W   Roberts ,ENGTR 2120,534,ECSE
Software Language Engineering.,Gunter   Mussbacher ,WONG 1030,539,ECSE
Software Language Engineering.,Gunter   Mussbacher ,WONG 1030,539,ECSE
Numerical Methods in Electrical Engineering.,Dennis Dionysios  Giannacopoulos ,ENGTR 0060,543,ECSE
Numerical Methods in Electrical Engineering.,Dennis Dionysios  Giannacopoulos ,ENGTR 0060,543,ECSE
Introduction to VLSI Systems.,Brett   Meyer ,ENGTR 0070,548,ECSE
Introduction to VLSI Systems.,Brett   Meyer ,ENGTR 0070,548,ECSE
Expert Systems in Electrical Design.,David Alister   Lowther ,ENGTR 1080,549,ECSE
Expert Systems in Electrical Design.,David Alister   Lowther ,ENGTR 1080,549,ECSE
Introduction to Power Electronics.,Geza   Joos ,ENGTR 0070,565,ECSE
Introduction to Power Electronics.,Geza   Joos ,ENGTR 0070,565,ECSE
Antennas and Propagation.,Milica   Popovich ,ENGTR 1090,593,ECSE
Antennas and Propagation.,TBA,ENGTR 1090,593,ECSE
Colloquium in Electrical Engineering.,Jeremy   Cooperstock ,TBA,681,ECSE
Topics in Computers and Circuits.,Zeljko   Zilic ,ENGTR 2120,682,ECSE
Topics in Vision and Robotics.,Frank P   Ferrie ,ENGTR 2100,683,ECSE
Recent Advances in Electrical Engineering 1.,Daniel   Varro ,ENGTR 2120,688,ECSE
Recent Advances: Electrical Engineering 2.,Xiaozhe   Wang ,ENGTR 2110,689,ECSE
Doctoral Research Seminar.,TBA,TBA,703,ECSE
Art Curriculum and Instruction - Elementary.,TBA,EDUC 437,332,EDEA
Curriculum and Instruction in Drama Education.,Mindy Roberta  Carter ,EDUC 613,342,EDEA
Music Curriculum and Instruction for Generalists.,Helene   Boucher ,EDUC 624,345,EDEA
Methods in Music Education 1.,Helene   Boucher | Lisa Marie   Lorenzino ,EDUC 624,442,EDEA
Communication in Education.,Sheryl   Smith-Gilman ,EDUC 539,203,EDEC
Communication in Education.,TBA,EDUC 437,203,EDEC
Communication in Education.,Mindy Roberta  Carter ,EDUC 338,203,EDEC
Communication in Education.,TBA,SH688 395,203,EDEC
Policy Issues in Quebec Education.,Tino   Bordonaro ,MCMED 522,247,EDEC
Policy Issues in Quebec Education.,Tino   Bordonaro ,MCMED 522,247,EDEC
Policy Issues in Quebec Education.,Tino   Bordonaro ,MCMED 522,247,EDEC
Multicultural Education.,Ratna   Ghosh ,STBIO N2/2,248,EDEC
Multicultural Education.,Ratna   Ghosh ,STBIO N2/2,248,EDEC
Global Education and Social Justice.,Abdul Aziz   Choudry ,STBIO N2/2,249,EDEC
Global Education and Social Justice.,Abdul Aziz   Choudry ,STBIO N2/2,249,EDEC
Philosophical Foundations.,Boyd Eric   White ,SADB 2/36,260,EDEC
Philosophical Foundations.,Boyd Eric   White ,SADB 2/36,260,EDEC
Philosophical Foundations.,Boghos   Zanazanian ,BURN 1B45,260,EDEC
Philosophical Foundations.,Boghos   Zanazanian ,BURN 1B45,260,EDEC
"Media, Technology and Education.",Dawn   Wiseman ,MCMED 206/7,262,EDEC
"Media, Technology and Education.",Dawn   Wiseman ,MCMED 206/7,262,EDEC
"Media, Technology and Education.",Lisa   Trimble ,EDUC 129,262,EDEC
"Media, Technology and Education.",Lisa   Trimble ,EDUC 129,262,EDEC
Special Topics - Literacy Studies.,Boghos   Zanazanian ,EDUC 338,617,EDEC
Research Writing.,Doreen   Starke-Meyerring ,EDUC 431,635,EDEC
Sociocultural and Epistemic Understandings of Science.,Allison Jardim  Gonsalves ,EDUC 624,646,EDEC
Sociocultural and Epistemic Understandings of Mathematics.,Allison Jardim  Gonsalves ,EDUC 624,647,EDEC
Elementary School Mathematics 1.,TBA,EDUC 436,230,EDEE
Elementary School Mathematics 1.,Annie   Savard ,EDUC 436,230,EDEE
Elementary School Mathematics 1.,TBA,EDUC 436,230,EDEE
Elementary School Mathematics 1.,TBA,EDUC 436,230,EDEE
Elementary School Science.,Dawn   Wiseman ,SADB 2/36,270,EDEE
"Geography, History and Citizenship Education.",TBA,LEA 232,280,EDEE
"Children's Literature.",Teresa   Strong ,MCMED 206/7,325,EDEE
"Children's Literature.",Teresa   Strong ,MCMED 206/7,325,EDEE
Third Year Professional Seminar (Kindergarten/Elementary).,TBA,EDUC 433,353,EDEE
Third Year Professional Seminar (Kindergarten/Elementary).,Sheryl   Smith-Gilman ,EDUC 434,353,EDEE
Third Year Professional Seminar (Kindergarten/Elementary).,TBA,EDUC 434,353,EDEE
Third Year Professional Seminar (Kindergarten/Elementary).,TBA,EDUC 338,353,EDEE
Classroom-based Evaluation.,TBA,EDUC 613,355,EDEE
Classroom-based Evaluation.,TBA,EDUC 338,355,EDEE
Classroom-based Evaluation.,TBA,EDUC 211,355,EDEE
Classroom-based Evaluation.,TBA,EDUC 433,355,EDEE
Contemporary Issues in Education.,Lisa   Trimble ,EDUC 129,220,EDEM
Contemporary Issues in Education.,Lisa   Trimble ,EDUC 129,220,EDEM
Contemporary Issues in Education.,Lisa   Trimble ,EDUC 129,220,EDEM
Critical Perspectives in Educational Theory and Research.,Ratna   Ghosh ,EDUC 338,609,EDEM
Critical Perspectives in Educational Theory and Research.,Shaheen   Shariff ,NOROOM NEEDED,609,EDEM
Critical Perspectives in Educational Theory and Research.,Shaheen   Shariff ,NOROOM NEEDED,609,EDEM
Leadership in Action.,TBA,EDUC 433,610,EDEM
Education Resource Management.,TBA,EDUC 434,628,EDEM
Community Relations in Education.,Scott   Conrod ,NOROOM NEEDED,660,EDEM
Leadership Theory in Education.,TBA,EDUC 629,673,EDEM
Special Topics 2.,Philip S S  Howard ,ARTS W-215,677,EDEM
Research Methods: Theory and Practice.,Anila   Asghar ,EDUC 433,690,EDEM
Understanding and Teaching Jewish Life.,Eric   Caplan ,EDUC 211,252,EDER
The Religious Quest.,TBA,EDUC 129,309,EDER
Teaching Judaism: Bible.,Eric   Caplan ,TBA,523,EDER
Topics: Culture in Education.,Kevin Michael   McDonough ,EDUC 627,625,EDER
Classroom Practices.,TBA,EDUC 437,350,EDES
Classroom Practices.,TBA,EDUC 434,350,EDES
Classroom Practices.,TBA,EDUC 613,350,EDES
Classroom Practices.,James   Howden ,EDUC 216,350,EDES
Classroom Practices.,James   Howden ,EDUC 216,350,EDES
Literature for Young Adults.,Bronwen Elizabeth  Low ,MCMED 206/7,366,EDES
Literature for Young Adults.,Bronwen Elizabeth  Low ,MCMED 206/7,366,EDES
Introduction to Physical and Health Education in Quebec.,Johanne   Vaillant ,CURRIE 305/6,100,EDKP
Health Education.,TBA,CURRIE 305/6,204,EDKP
Motor Development.,TBA,DUFF THTR 1,261,EDKP
Motor Development.,TBA,DUFF THTR 1,261,EDKP
Nutrition and Wellness.,Hugues   Plourde ,ENGMC 304,292,EDKP
Anatomy and Physiology.,TBA,CURRIE 305/6,293,EDKP
Special Topics 02.,TBA,TBA,300,EDKP
Special Topics 02.,Dennis   Jensen ,TBA,300,EDKP
Special Topics 02.,David J   Pearsall ,TBA,300,EDKP
Special Topics 02.,Tanja   Taivassalo ,TBA,300,EDKP
Special Topics 02.,Celena   Scheede ,TBA,300,EDKP
Special Topics 02.,Lynn   Bookalam ,TBA,300,EDKP
Special Topics 02.,Nicole   Ventura ,TBA,300,EDKP
Physical Activity and Health.,Ross   Andersen ,ENGMC 304,330,EDKP
Physical Activity and Health.,Ross   Andersen ,ENGMC 304,330,EDKP
Physical Education Curriculum and Instruction.,Johanne   Vaillant ,CURRIE 124/3,332,EDKP
Physiology in Sport and Exercise.,TBA,CURRIE 305/6,391,EDKP
Exercise Physiology.,Celena   Scheede ,ENGMC 11,395,EDKP
Special Topics 03.,TBA,TBA,400,EDKP
Special Topics 03.,Ross   Andersen ,TBA,400,EDKP
Special Topics 03.,Gordon A.  Bloom ,TBA,400,EDKP
Special Topics 03.,Dennis   Jensen ,TBA,400,EDKP
Special Topics 03.,David J   Pearsall ,TBA,400,EDKP
Special Topics 03.,Tanja   Taivassalo ,TBA,400,EDKP
Special Topics 03.,Celena   Scheede ,TBA,400,EDKP
Special Topics 03.,Lynn   Bookalam ,TBA,400,EDKP
Special Topics 03.,Caroline   Paquette ,TBA,400,EDKP
Special Topics 03.,Shane Norman  Sweet ,TBA,400,EDKP
Special Topics 03.,Lindsay   Duncan ,TBA,400,EDKP
Physical Education Pedagogy.,William James   Harvey ,CURRIE 305/6,442,EDKP
Research Methods.,Lindsay   Duncan ,SADB 2/36,443,EDKP
Ergonomics.,09/02-12/05,Temporarily closed,444,EDKP
Physical Activity and Ageing.,TBA,CURRIE 408/9,446,EDKP
Motor Control.,Caroline   Paquette ,CURRIE 305/6,447,EDKP
Exercise Pathophysiology 2.,TBA,EDUC 624,449,EDKP
Sport Psychology.,Gordon A.  Bloom ,CURRIE 408/9,498,EDKP
Sport Psychology.,Gordon A.  Bloom ,CURRIE 408/9,498,EDKP
Advanced Biomechanics Theory.,TBA,CURRIE 408/9,566,EDKP
Research Methods 1.,Gordon A.  Bloom ,TBA,605,EDKP
Experimental Problems.,TBA,TBA,671,EDKP
Experimental Problems.,TBA,TBA,672,EDKP
Experimental Problems.,TBA,TBA,672D1,EDKP
Introduction to Student Advising.,TBA,TBA,201,EDPC
Helping Relationships.,TBA,EDUC 211,501,EDPC
Helping Relationships.,TBA,EDUC 211,501,EDPC
Helping Relationships.,TBA,EDUC 211,501,EDPC
Helping Relationships.,TBA,EDUC 211,501,EDPC
Group Processes and Individuals.,TBA,TBA,502,EDPC
Group Processes and Individuals.,TBA,TBA,502,EDPC
Group Processes and Individuals.,TBA,TBA,502,EDPC
Crisis Intervention Processes.,TBA,EDUC 613,505,EDPC
Crisis Intervention Processes.,TBA,EDUC 613,505,EDPC
Foundation of Family Life Education.,TBA,EDUC 431,540,EDPC
Foundation of Family Life Education.,TBA,EDUC 431,540,EDPC
Theories of Intervention 1.,TBA,EDUC 338,606,EDPC
Assessment and Diagnosis 1.,TBA,EDUC 629,615,EDPC
Clinic Practicum 1.,Marilyn R   Fitzpatrick ,EDUC 431,625,EDPC
Career Psychology.,Ada L   Sinacore ,EDUC 431,662,EDPC
Career Psychology.,TBA,EDUC 539,662,EDPC
Practicum.,Jack   Destefano ,EDUC 614,665D1,EDPC
Practicum.,TBA,EDUC 539,665D1,EDPC
Practicum.,TBA,EDUC 629,665D1,EDPC
Internship: General 1.,TBA,EDUC 539,679D1,EDPC
Internship: General 1.,TBA,EDUC 431,679D1,EDPC
Internship: General 1.,TBA,EDUC 519,679D1,EDPC
Practicum: Psychological Testing.,Tina   Montreuil ,EDUC 539,682D1,EDPC
Practicum in Psychological Testing: Personality Assessment.,TBA,EDUC 539,683,EDPC
Practicum in Psychological Testing: Cognitive Assessment.,TBA,EDUC 431,684,EDPC
Practicum in Psychological Testing: Cognitive Assessment.,TBA,EDUC 519,684,EDPC
Internship: Vocational and Rehabilitation Counselling.,TBA,TBA,685D1,EDPC
Internship: Vocational and Rehabilitation Counselling.,TBA,TBA,685D1,EDPC
Internship: Vocational and Rehabilitation Counselling.,TBA,TBA,685D1,EDPC
Theory / Models: Family Therapy.,Jack   Destefano ,EDUC 431,714,EDPC
Doctoral Field Experience.,Jack   Destefano ,EDUC 539,782D1,EDPC
Pre-doctoral Internship.,TBA,TBA,795D1,EDPC
Educational Psychology.,TBA,STBIO S1/4,300,EDPE
Educational Psychology.,TBA,STBIO S1/4,300,EDPE
Educational Psychology.,TBA,STBIO S1/4,300,EDPE
Educational Psychology.,TBA,STBIO S1/4,300,EDPE
Educational Psychology.,TBA,STBIO S1/4,300,EDPE
Educational Psychology.,TBA,STBIO S1/4,300,EDPE
Measurement and Evaluation.,TBA,EDUC 129,304,EDPE
Measurement and Evaluation.,TBA,EDUC 129,304,EDPE
Instructional Psychology.,TBA,TBA,335,EDPE
Cognition and Education.,Michael L   Hoover ,EDUC 539,355,EDPE
Cognition and Education.,Michael L   Hoover ,EDUC 539,355,EDPE
Theories of Human Development.,Jacob A   Burack ,TBA,502,EDPE
Theories of Human Development.,Jacob A   Burack ,TBA,502,EDPE
Theories of Human Development.,Jacob A   Burack ,TBA,502,EDPE
Theories of Human Development.,Jacob A   Burack ,TBA,502,EDPE
Gender Identity Development.,Jessica   Ruglis ,EDUC 539,515,EDPE
Gender Identity Development.,Jessica   Ruglis ,EDUC 539,515,EDPE
Introduction to Learning Sciences.,Alain   Breuleux ,EDUC 434,555,EDPE
Introduction to Learning Sciences.,Alain   Breuleux ,EDUC 434,555,EDPE
Introduction to Learning Sciences.,Alain   Breuleux ,EDUC 434,555,EDPE
Educational Measurement.,Michael L   Hoover ,TBA,575,EDPE
Educational Measurement.,Michael L   Hoover ,TBA,575,EDPE
Educational Measurement.,Michael L   Hoover ,TBA,575,EDPE
Child and Adolescent Therapy.,TBA,EDUC 431,619,EDPE
Practicum 1: School Psychology.,Eve-Marie Isabelle  Quintin ,EDUC 431,625,EDPE
Ethical and Professional Practice of Psychology.,TBA,EDUC 629,627,EDPE
Emerging Technologies for Educational Change.,Adam   Dubé ,EDUC 129,640,EDPE
Emerging Technologies for Educational Change.,Adam   Dubé ,EDUC 129,640,EDPE
Learning Environments.,Alain   Breuleux ,EDUC 629,663,EDPE
"Expertise, Reasoning and Problem Solving.",TBA,TBA,664,EDPE
Foundations of Learning Science.,Susanne P   Lajoie ,EDUC 431,666,EDPE
Intermediate Statistics.,Eve-Marie Isabelle  Quintin ,EDUC 129,676,EDPE
Intermediate Statistics.,Eve-Marie Isabelle  Quintin ,EDUC 129,676,EDPE
Intermediate Statistics.,Eve-Marie Isabelle  Quintin ,EDUC 129,676,EDPE
Applied Multivariate Statistics.,Krista   Muis ,EDUC 341,684,EDPE
Consultation in School Psychology.,Ada L   Sinacore ,EDUC 539,710,EDPE
School Psychology: Elementary.,Armando   Bertone ,TBA,721D1,EDPE
School Psychology: Secondary.,Armando   Bertone ,TBA,722D1,EDPE
School Psychology: Community.,Armando   Bertone ,TBA,723D1,EDPE
Internship 1 - School Psychology.,Jeffrey L   Derevensky ,TBA,725D1,EDPE
Internship 2 - School Psychology.,Jeffrey L   Derevensky ,TBA,726D1,EDPE
Teaching and Learning in Higher Education.,TBA,EDUC 431,689,EDPH
Teaching and Learning in Higher Education.,TBA,EDUC 431,689,EDPH
Diverse Learners.,TBA,TBA,309,EDPI
Instruction in Inclusive Schools.,TBA,ARTS W-120,341,EDPI
Instruction in Inclusive Schools.,TBA,TBA,341,EDPI
Instruction in Inclusive Schools.,TBA,TBA,341,EDPI
Instruction in Inclusive Schools.,TBA,STBIO N2/2,341,EDPI
Instruction in Inclusive Schools.,TBA,STBIO N2/2,341,EDPI
Instruction in Inclusive Schools.,TBA,ARTS W-120,341,EDPI
Instruction in Inclusive Schools.,TBA,ARTS W-120,341,EDPI
Instruction in Inclusive Schools.,TBA,ARTS W-120,341,EDPI
Assessment for Instruction.,TBA,EDUC 437,344,EDPI
Managing the Inclusive Classroom.,TBA,TBA,440,EDPI
Managing the Inclusive Classroom.,TBA,TBA,440,EDPI
Creativity and its Cultivation.,TBA,EDUC 216,527,EDPI
Creativity and its Cultivation.,TBA,EDUC 216,527,EDPI
Creativity and its Cultivation.,TBA,EDUC 216,527,EDPI
Field Work 1.,TBA,EDUC 624,539,EDPI
"Family, School and Community.",Chiaki   Konishi ,EDUC 624,543,EDPI
"Family, School and Community.",Chiaki   Konishi ,EDUC 624,543,EDPI
"Family, School and Community.",Chiaki   Konishi ,EDUC 624,543,EDPI
"Inclusion: Past, Present & Future.",Tara   Flanagan ,EDUC 431,642,EDPI
"Inclusion: Past, Present & Future.",Tara   Flanagan ,EDUC 431,642,EDPI
"Inclusion: Past, Present & Future.",TBA,EDUC 613,642,EDPI
Clinic Practicum in Special Education.,TBA,EDUC 624,656D1,EDPI
Teaching of Reading.,Robert Samuel  Savage ,EDUC 437,665,EDPI
Internship/Special Needs Education.,TBA,EDUC 624,756D1,EDPI
Integrating Educational Technology in Classrooms.,TBA,EDUC 627,200,EDPT
Educational Media 1.,TBA,TBA,204,EDPT
Foundations of L2 Education.,TBA,EDUC 129,300,EDSL
Foundations of L2 Education.,TBA,EDUC 129,300,EDSL
Étude de la langue.,TBA,EDUC 539,301,EDSL
L2 Learning: Classroom Settings.,TBA,EDUC 624,305,EDSL
L2 Learning: Classroom Settings.,TBA,EDUC 624,305,EDSL
Third Year Professional Seminar.,TBA,EDUC 437,315,EDSL
Literacy 1:Teaching Reading in ESL.,TBA,EDUC 211,330,EDSL
Literacy 1:Teaching Reading in ESL.,TBA,EDUC 211,330,EDSL
Teaching Oral Skills in ESL.,TBA,EDUC 627,334,EDSL
Littératie et littérature jeunesse en FLS.,Susan Gail   Ballinger ,EDUC 338,341,EDSL
Essentials of English Grammar.,Mekhala   Sarkar ,EDUC 129,350,EDSL
Essentials of English Grammar.,Mekhala   Sarkar ,EDUC 129,350,EDSL
Foundations and Issues in Second Language Education.,TBA,NOROOM NEEDED,500,EDSL
Foundations and Issues in Second Language Education.,TBA,NOROOM NEEDED,500,EDSL
Étude de la langue française pour enseignants.,TBA,EDUC 539,515,EDSL
Littératie et littérature de jeunesse en contexte immersif.,TBA,EDUC 338,541,EDSL
Methods and Curriculum in Second Language Teaching 2.,09/02-12/05,Cancelled,602,EDSL
Second Language Learning.,Mekhala   Sarkar ,TBA,623,EDSL
Educational Sociolinguistics.,TBA,EDUC 629,624,EDSL
Introduction to Cognitive Assessment.,Armando   Bertone ,EDUC 431,609,EDSP
"History, Theory and Best Practices in School Psychology.",Steven R.  Shaw ,EDUC 431,611,EDSP
Consultation in School Psychology.,Ada L   Sinacore ,EDUC 539,710,EDSP
Theory and Practice of Supervision.,Tina   Montreuil ,EDUC 539,715D1,EDSP
Critical Influences on Educational Praxis.,Philip S S  Howard ,LEA 109,508,EDTL
Critical Influences on Educational Praxis.,Steve   Jordan ,LEA 15,508,EDTL
Perspectives on Knowledge in Mathematics and Science.,Dawn   Wiseman ,EDUC 361,520,EDTL
Perspectives on Knowledge in Mathematics and Science.,Dawn   Wiseman ,EDUC 361,520,EDTL
Teaching Science and Technology.,Riley Garth Long  Drever ,EDUC 361,525,EDTL
Teaching Science and Technology.,TBA,EDUC 361,525,EDTL
Cross-curricular Teaching Methods.,Lisa J  Starr ,EDUC 211,601,EDTL
Cross-curricular Teaching Methods.,TBA,EDUC 624,601,EDTL
"Adv Applied Meth in Teach'g Ethics&ReligCulture in Sec Sch.",TBA,EDUC 338,612,EDTL
Advanced Applied Methods in Teaching Science in Sec. School.,Anila   Asghar ,EDUC 361,626,EDTL
Advanced Methods in Teaching Mathematics in Sec. School.,Limin   Jao ,EDUC 436,628,EDTL
Advanced Applied Methods in Teaching Sec English Lang Arts.,Claudia A   Mitchell ,EDUC 431,630,EDTL
Adv Applied Meth in Teaching Social Sciences in Sec. School.,TBA,EDUC 338,634,EDTL
Adv. Applied Methods in Second Language Education.,TBA,EDUC 539,636,EDTL
Departmental Survey of English Literature 1.,Kenneth H   Borris ,ENGMC 204,202,ENGL
English Literature and the Bible.,Theodore W   Folkerth ,SADB 1/12,204,ENGL
American Literature 3.,TBA,STBIO N2/2,227,ENGL
Introduction to Theatre Studies.,Erin Jane   Hurley ,CURRIE 408/9,230,ENGL
Introduction to Cultural Studies.,Derek Richard  Nystrom ,LEA 232,275,ENGL
Introduction to Film Studies.,TBA,LEA 232,277,ENGL
Special Topics of Literary Study.,Marianne A   Stenbaek ,ENGMD 280,297,ENGL
Earlier 18th Century Novel.,David C   Hensley ,ARTS 230,301,ENGL
Theatre History: Medieval and Early Modern.,Fiona   Ritchie ,ARTS W-25,306,ENGL
Poetics.,Eli Nicholas  MacLaren ,ARTS 350,311,ENGL
Poetics.,TBA,EDUC 211,311,ENGL
Poetics.,TBA,EDUC 211,311,ENGL
Poetics.,09/02-12/05,Cancelled,311,ENGL
Poetics.,TBA,ARTS 350,311,ENGL
Canadian Drama and Theatre.,Erin Jane   Hurley ,ARTS 150,313,ENGL
Theory of English Studies 2.,Tabitha   Sparks ,MAASS 217,318,ENGL
Theory of English Studies 3.,Trevor   Ponech ,EDUC 338,319,ENGL
Postcolonial Literature.,Sandeep   Banerjee ,ARTS 260,320,ENGL
19th Century American Prose.,TBA,EDUC 216,326,ENGL
Canadian Prose Fiction 1.,Eli Nicholas  MacLaren ,EDUC 211,327,ENGL
Introduction to Old English.,Dorothy A   Bray ,EDUC 613,342,ENGL
Literature and Society.,Paul Edward   Yachnin ,ARTS 260,345,ENGL
Great Writings of Europe 2.,William Allan   Hepburn ,ARTS 150,348,ENGL
Literary Criticism.,Sandeep   Banerjee ,EDUC 338,360,ENGL
Costuming for the Theatre 1.,Catherine A   Bradley ,ARTS B-60,365,ENGL
